Gun,Skin,Image,Price Link,Min_Price,Max_Price,Stat_Min_Price,Stat_Max_Price
Negev,AnodizedNavY,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9hbl9uYXZ5X2xpZ2h0LjJkZWE2YTM4YmM3OWYyOTZmM2VmOTJmY2JmNzg4MDgzN2RkY2U1MmIucG5n/auto/auto/85/notrim/fab65c958cf34f1ada68a49bc2bf7670.png,https://csgoskins.gg/items/negev-anodized-navy,$411.48,"$1,081.03",,
Negev,ArmySheeN,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9hbV9hcm15X3NoaW5lX2xpZ2h0LjQ5NzhmYmNmOGU5MDkzZjNhYjQ3MTVmZDA3YmFmMmQ5NDg4NDk4YWIucG5n/auto/auto/85/notrim/6e94d1ffcac7e4a24682e966367b1787.png,https://csgoskins.gg/items/negev-army-sheen,$0.01,$0.03,,
M249,Aztec1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tMjQ5X2FxX20yNDlfYXp0ZWNfbGlnaHQuY2M5OTYzYTVlNjIxZDRkNGY4ODFhNmZlNTJhYmFkZjRkYzU2MGE2My5wbmc-/auto/auto/85/notrim/6aa0528c97e9e6eb947fe61688adf3d1.png,https://csgoskins.gg/items/m249-aztec,$0.44,$2.30,,
M249,Blizzard Marbleized1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tMjQ5X2h5X2JsaXp6YXJkX2xpZ2h0LjY1YTA1NzcwZGRhMGI3Y2IyMDJmNWI2ODE0NjczZGNkZTFlNGM5YzcucG5n/auto/auto/85/notrim/31300bf8615bd6fd65beeea6154700a7.png,https://csgoskins.gg/items/m249-blizzard-marbleized,$6.68,$134.55,,
Negev,Boroque Sand1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9oeV92ZW5ldG9fdGFuX2xpZ2h0LjMzZjZlNWY5MjAyNjBjNmI2YjhmYTMyOTA1ZjAxZWJkMDMzOTM4NTgucG5n/auto/auto/85/notrim/fbac1a18419588c3030282e81f2c8ed4.png,https://csgoskins.gg/items/negev-boroque-sand,$1.39,$6.64,,
Negev,Bratatat1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9jdV9icmF0YXRhdF9uZWdldl9saWdodC40NjI2MGU5ZWMyYjljZWFlNjNmYjEyNzM1NTA5NzM0OTE1Mjc5MTgxLnBuZw--/auto/auto/85/notrim/0a670b064b6467594d96d7c3a702ad63.png,https://csgoskins.gg/items/negev-bratatat,$1.17,$6.53,,
Negev,Bulkhead1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9oeV9kdWN0c195ZWxsb3dfbGlnaHQuMWRhZGQ2ODE2OWIwN2MyNmQ3NDU3NWI2YmU3MWE4YjBlY2JhOTczYS5wbmc-/auto/auto/85/notrim/901234f05172916647943eaca2dc6e19.png,https://csgoskins.gg/items/negev-bulkhead,$0.01,$0.09,,
Negev,CaliCamO,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9oeV92YXJpY2Ftb19kZXNlcnRfbGlnaHQuYzI5ZjNhM2FlNTE4MTk5NGVkOWFmYmVmMTUxMGZiNjBjMjM3MGM5Yi5wbmc-/auto/auto/85/notrim/1843220a015d77b00f8da4e383cba521.png,https://csgoskins.gg/items/negev-calicamo,$19.02,$383.37,,
M249,Contrast Spray1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tMjQ5X3NwX3NwcmF5X2xpZ2h0LmNmNWM0Y2JmM2QwMmE0YTI3NDliMjIxMThhM2U0NmJlOWJhMjEyMWEucG5n/auto/auto/85/notrim/222616af5cd12b69a0b5b158303ee9cb.png,https://csgoskins.gg/items/m249-contrast-spray,$0.30,$8.22,,
Negev,Dazzle1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9oeV9uZWdldl9kYXp6bGVfbGlnaHQuNGVjYjFjYTlmYzBkMmViM2ZmZTAwZWIyMzlmMDZhNWM2NzFlZTYxOC5wbmc-/auto/auto/85/notrim/62d08480bfaecea6299b530d8a71b017.png,https://csgoskins.gg/items/negev-dazzle,$0.15,$0.73,,
M249,Deep Relief1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tMjQ5X2N1X20yNDlfZGVlcF9yZWxpZWZfbGlnaHQuNDE4ODg2Y2IyZDMyY2Y1M2U2ZTM1NzZhNWJjYjJkMzJhZTQ5NjI0MS5wbmc-/auto/auto/85/notrim/ed438823dc3cd5b6d9908df4682a62f8.png,https://csgoskins.gg/items/m249-deep-relief,$0.41,$2.37,,
Negev,Desert-Strike1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9jdV9uZWdldl90aXRhbnN0b3JtX2xpZ2h0LmZiYmViYTRmMDRjNzM5ZDIxMzMxZjNlY2I3YWFkNThjMjY4MTVlZjIucG5n/auto/auto/85/notrim/7be3d13413d62f08ec3731478fba6b73.png,https://csgoskins.gg/items/negev-desert-strike,$0.23,$0.44,,
Negev,dev_texture1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9jdV9uZWdldl9kZXZ0ZXh0dXJlX2xpZ2h0LjVkNGZhOTNlZWQyNWY5N2E2NzM0MjVkNGRhZTI0ZTI5OWI5MjRhMzgucG5n/auto/auto/85/notrim/9ee147448baf600ffb687be8f6faea65.png,https://csgoskins.gg/items/negev-dev-texture,$0.40,$2.04,,
M249,Downtown1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tMjQ5X2N1X20yNDlfZG93bnZvdGVfbGlnaHQuM2VjODlhMjk5NTlmYmFkN2E3MjA1Y2RlNWQ4MzNjNDY5YjAxOTFkNi5wbmc-/auto/auto/85/notrim/4617c2392fa33798a88944f02f44d9f9.png,https://csgoskins.gg/items/m249-downtown,$0.40,$1.67,,
Negev,Drop Me1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9jdV9uZWdldl9jbGVhcl9za3lfbGlnaHQuMjkwODY5Yzg0YmYwNTk4NTA4N2M2ODc3ZWUwODE2MDhhNmQxZDM1YS5wbmc-/auto/auto/85/notrim/c0352f9a475fc04fa5019254565acee8.png,https://csgoskins.gg/items/negev-drop-me,$0.05,$0.64,,
M249,Emerald Poison Dart1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tMjQ5X3NwX20yNDlfZnJvZ19vcmlnaW5hbF9saWdodC4yNDJmN2YzZTgxZjU2MTBkMGMwZWMwMDFmZTc0OGQ4MDQ0NTY1MTVhLnBuZw--/auto/auto/85/notrim/3c6315e1fa8512741c512024837a6a23.png,https://csgoskins.gg/items/m249-emerald-poison-dart,$1.24,$2.96,,
M249,Gator Mesh1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tMjQ5X3NwX21lc2hfcHl0aG9uX2xpZ2h0LjNiNWI5ZTdiZDNhMjJiOGJlMGQ1NTRmY2ZlZjY2MDE4OGE5YmZjMTIucG5n/auto/auto/85/notrim/06ae12b88f2cb94cab7e3e0b984dee05.png,https://csgoskins.gg/items/m249-gator-mesh,$0.03,$0.10,,
M249,Humidor1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tMjQ5X3NwX21vcm9fY2FydmluZ19idXJudF9saWdodC4zY2E2ZWQ4MmUwNWY4MzgzOTY1YzkzYTY4NDcwOWQxN2ViODc0NzE4LnBuZw--/auto/auto/85/notrim/10c199f7a27fa0d0f8969affc59d73d5.png,https://csgoskins.gg/items/m249-humidor,$11.23,$15.50,,
M249,Hypnosis1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tMjQ5X20yNDlfaHlwbm9zaXNfbGlnaHQuZjUxMDA3ZTUzNmM0ZDNkYzVhYjY0YzRiZDE2MTZhMjBhM2Q0NmRmZC5wbmc-/auto/auto/85/notrim/1567d09f3c80b2c1a9c126ba6eddd492.png,https://csgoskins.gg/items/m249-hypnosis,$0.09,$1.54,,
M249,Impact Drill1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tMjQ5X3NvX2tleWNvbG9yc19saWdodC4zMmY1MGNlYzQxNjEyNTZiNTUzOWQ4NTA4MWQyMTViMzFjMDI0MDAyLnBuZw--/auto/auto/85/notrim/9b7bd660d78d54876c815338da50c5e2.png,https://csgoskins.gg/items/m249-impact-drill,$1.58,$5.48,,
Negev,Infrastructure1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9oeV92ZXJ0aWdvc3ByYXlfbGlnaHQuZWE3YTMxOTVkNDhiYTJhMjhlZjE1ZTgxZDU5NTg2OGM4MjM3ZjQ1OC5wbmc-/auto/auto/85/notrim/12d4f4a8fd68a8ff9f98fb841e89579e.png,https://csgoskins.gg/items/negev-infrastructure,$9.76,$20.92,,
M249,JunglE,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tMjQ5X3NvX2p1bmdsZV9saWdodC43OWVjOGE0MDNmYmVhMmFjOTg4M2Y1YTUwYzQwMWQwOGU4MjI2ZTcwLnBuZw--/auto/auto/85/notrim/674682b1271dd9fafa4d53f858666248.png,https://csgoskins.gg/items/m249-jungle,$2.70,$11.06,,
M249,Jungle DDPAT1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tMjQ5X2h5X2RkcGF0X2p1bmdsZV9icmF2b19saWdodC5jMzIwZmQ5NDljN2ViNmM5ZjY0NmM5ZDg5ZGRlNjkwYTkwZjllYmQ4LnBuZw--/auto/auto/85/notrim/965431ea4d5dfe416da301e176848dc4.png,https://csgoskins.gg/items/m249-jungle-ddpat,$2.25,$45.22,,
Negev,Lionfish1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9zcF9uZWdldl9saW9uZmlzaF9saWdodC42MDk4MDAwNjk2ODgzNDZjMWFjYzU1NzkyNmJhMGI5ODMwMjAyZTAzLnBuZw--/auto/auto/85/notrim/d4d47712134e8dfd8558f4d16286855d.png,https://csgoskins.gg/items/negev-lionfish,$0.40,$1.68,,
